"If Unique, Value = 1",AIRPORT,Year_Ended_December,Rank,Dom_Pax_In,Dom_Pax_Out,Dom_Pax_Total,Int_Pax_In,Int_Pax_Out,Int_Pax_Total,Pax_In,Pax_Out,Pax_Total
1,ADELAIDE,1985,4,957880,953867,1911747,55353,52681,108034,1013233,1006548,2019781
0,ADELAIDE,1986,4,991011,987422,1978433,70273,66298,136571,1061284,1053720,2115004
0,ADELAIDE,1987,5,1004223,1004620,2008843,71765,67927,139692,1075988,1072547,2148535
0,ADELAIDE,1988,4,1082379,1081872,2164251,72473,68411,140884,1154852,1150283,2305135
0,ADELAIDE,1989,5,864156,870896,1735052,75625,71553,147178,939781,942449,1882230
0,ADELAIDE,1990,5,1050530,1057316,2107846,92869,88528,181397,1143399,1145844,2289243
0,ADELAIDE,1991,5,1312333,1317683,2630016,96960,95124,192084,1409293,1412807,2822100
0,ADELAIDE,1992,4,1363408,1366447,2729855,103932,100531,204463,1467340,1466978,2934318
0,ADELAIDE,1993,5,1452121,1457774,2909895,112290,104129,216419,1564411,1561903,3126314
0,ADELAIDE,1994,5,1578541,1596209,3174750,111407,102949,214356,1689948,1699158,3389106
0,ADELAIDE,1995,5,1704117,1715577,3419694,107676,99945,207621,1811793,1815522,3627315
0,ADELAIDE,1996,5,1777723,1782106,3559829,103704,102159,205863,1881427,1884265,3765692
0,ADELAIDE,1997,5,1815098,1821304,3636402,105895,102995,208890,1920993,1924299,3845292
0,ADELAIDE,1998,5,1893971,1895487,3789458,112689,110346,223035,2006660,2005833,4012493
0,ADELAIDE,1999,5,1925483,1935427,3860910,123513,117501,241014,2048996,2052928,4101924
0,ADELAIDE,2000,5,1983734,1979425,3963159,139535,130564,270099,2123269,2109989,4233258
0,ADELAIDE,2001,5,2088198,2094282,4182480,124361,117483,241844,2212559,2211765,4424324
0,ADELAIDE,2002,5,1996080,1998230,3994310,115448,108903,224351,2111528,2107133,4218661
0,ADELAIDE,2003,5,2188997,2195098,4384095,107577,99272,206849,2296574,2294370,4590944
0,ADELAIDE,2004,5,2415418,2424467,4839885,147055,139028,286083,2562473,2563495,5125968
0,ADELAIDE,2005,5,2621067,2640610,5261677,172571,161727,334298,2793638,2802337,5595975
0,ADELAIDE,2006,5,2793335,2798978,5592313,209029,191460,400489,3002364,2990438,5992802
0,ADELAIDE,2007,5,2946819,2959610,5906429,234751,220398,455149,3181570,3180008,6361578
0,ADELAIDE,2008,5,3127058,3143311,6270369,249375,230304,479679,3376433,3373615,6750048
0,ADELAIDE,2009,5,3164872,3175476,6340348,257754,243645,501399,3422626,3419121,6841747
0,ADELAIDE,2010,5,3374605,3383607,6758212,273337,259055,532392,3647942,3642662,7290604
0,ADELAIDE,2011,5,3221062,3217272,6438334,296137,286936,583073,3517199,3504208,7021407
0,ADELAIDE,2012,5,3208500,3208315,6416815,330842,319235,650077,3539342,3527550,7066892
0,ADELAIDE,2013,5,3285242,3289047,6574289,406878,392707,799585,3692120,3681754,7373874
0,ADELAIDE,2014,5,3364494,3367105,6731599,488795,478470,967265,3853289,3845575,7698864
0,ADELAIDE,2015,5,3402848,3396933,6799781,438120,433268,871388,3840968,3830201,7671169
0,ADELAIDE,2016,5,3502850,3493144,6995994,460538,463641,924179,3963388,3956785,7920173
0,ADELAIDE,2017,5,3577907,3571052,7148959,484696,478279,962975,4062603,4049331,8111934
0,ADELAIDE,2018,5,3662255,3658087,7320342,515561,510400,1025961,4177816,4168487,8346303
1,ALBANY,1985,-,6330,6313,12643,0,0,0,6330,6313,12643
0,ALBANY,1986,-,7298,7152,14450,0,0,0,7298,7152,14450
0,ALBANY,1987,-,7601,7497,15098,0,0,0,7601,7497,15098
0,ALBANY,1988,-,7729,7764,15493,0,0,0,7729,7764,15493
0,ALBANY,1989,-,7173,7223,14396,0,0,0,7173,7223,14396
0,ALBANY,1990,-,7428,7390,14818,0,0,0,7428,7390,14818
0,ALBANY,1991,-,7434,7159,14593,0,0,0,7434,7159,14593
0,ALBANY,1992,-,7485,7526,15011,0,0,0,7485,7526,15011
0,ALBANY,1993,-,8192,8032,16224,0,0,0,8192,8032,16224
0,ALBANY,1994,-,9492,9464,18956,0,0,0,9492,9464,18956
0,ALBANY,1995,-,12176,12008,24184,0,0,0,12176,12008,24184
0,ALBANY,1996,-,15007,14986,29993,0,0,0,15007,14986,29993
0,ALBANY,1997,-,16225,15843,32068,0,0,0,16225,15843,32068
0,ALBANY,1998,-,17543,17296,34839,0,0,0,17543,17296,34839
0,ALBANY,1999,-,19973,19931,39904,0,0,0,19973,19931,39904
0,ALBANY,2000,-,22150,21872,44022,0,0,0,22150,21872,44022
0,ALBANY,2001,-,18883,18915,37798,0,0,0,18883,18915,37798
0,ALBANY,2002,-,16837,16991,33828,0,0,0,16837,16991,33828
0,ALBANY,2003,-,17622,17620,35242,0,0,0,17622,17620,35242
0,ALBANY,2004,-,20548,20330,40878,0,0,0,20548,20330,40878
0,ALBANY,2005,-,22681,22939,45620,0,0,0,22681,22939,45620
0,ALBANY,2006,56,25820,25884,51704,0,0,0,25820,25884,51704
0,ALBANY,2007,57,27243,27395,54638,0,0,0,27243,27395,54638
0,ALBANY,2008,59,28406,28435,56841,0,0,0,28406,28435,56841
0,ALBANY,2009,59,25016,25365,50381,0,0,0,25016,25365,50381
0,ALBANY,2010,55,27289,27113,54402,0,0,0,27289,27113,54402
0,ALBANY,2011,59,29274,29089,58363,0,0,0,29274,29089,58363
0,ALBANY,2012,58,29502,29496,58998,0,0,0,29502,29496,58998
0,ALBANY,2013,57,29380,29523,58903,0,0,0,29380,29523,58903
0,ALBANY,2014,56,29996,30059,60055,0,0,0,29996,30059,60055
0,ALBANY,2015,59,26791,26766,53557,0,0,0,26791,26766,53557
0,ALBANY,2016,58,27069,27338,54407,0,0,0,27069,27338,54407
0,ALBANY,2017,61,28117,28444,56561,0,0,0,28117,28444,56561
0,ALBANY,2018,60,30109,30524,60633,0,0,0,30109,30524,60633
1,ALBURY,1985,15,133837,132536,266373,0,0,0,133837,132536,266373
0,ALBURY,1986,16,140242,139806,280048,0,0,0,140242,139806,280048
0,ALBURY,1987,16,129544,128137,257681,0,0,0,129544,128137,257681
0,ALBURY,1988,17,100096,99269,199365,0,0,0,100096,99269,199365
0,ALBURY,1989,19,56835,56776,113611,0,0,0,56835,56776,113611
0,ALBURY,1990,24,47392,46707,94099,0,0,0,47392,46707,94099
0,ALBURY,1991,23,54748,55298,110046,0,0,0,54748,55298,110046
0,ALBURY,1992,23,59819,58559,118378,0,0,0,59819,58559,118378
0,ALBURY,1993,22,62158,62801,124959,0,0,0,62158,62801,124959
0,ALBURY,1994,23,71409,71862,143271,0,0,0,71409,71862,143271
0,ALBURY,1995,23,74539,73971,148510,0,0,0,74539,73971,148510
0,ALBURY,1996,23,75765,76325,152090,0,0,0,75765,76325,152090
0,ALBURY,1997,23,78085,78540,156625,0,0,0,78085,78540,156625
0,ALBURY,1998,23,78407,78379,156786,0,0,0,78407,78379,156786
0,ALBURY,1999,25,78589,78993,157582,0,0,0,78589,78993,157582
0,ALBURY,2000,24,83572,83623,167195,0,0,0,83572,83623,167195
0,ALBURY,2001,24,72600,71884,144484,0,0,0,72600,71884,144484
0,ALBURY,2002,25,62926,62043,124969,0,0,0,62926,62043,124969
0,ALBURY,2003,24,70889,70981,141870,0,0,0,70889,70981,141870
0,ALBURY,2004,24,88308,88592,176900,0,0,0,88308,88592,176900
0,ALBURY,2005,26,95424,95348,190772,0,0,0,95424,95348,190772
0,ALBURY,2006,25,102111,102355,204466,0,0,0,102111,102355,204466
0,ALBURY,2007,26,109138,110874,220012,0,0,0,109138,110874,220012
0,ALBURY,2008,24,140183,138131,278314,0,0,0,140183,138131,278314
0,ALBURY,2009,24,141601,140600,282201,0,0,0,141601,140600,282201
0,ALBURY,2010,24,146339,145460,291799,0,0,0,146339,145460,291799
0,ALBURY,2011,26,140033,140438,280471,0,0,0,140033,140438,280471
0,ALBURY,2012,29,137996,138766,276762,0,0,0,137996,138766,276762
0,ALBURY,2013,27,129103,130343,259446,0,0,0,129103,130343,259446
0,ALBURY,2014,29,123256,124551,247807,0,0,0,123256,124551,247807
0,ALBURY,2015,28,119487,119967,239454,0,0,0,119487,119967,239454
0,ALBURY,2016,28,125564,125790,251354,0,0,0,125564,125790,251354
0,ALBURY,2017,28,132538,133054,265592,0,0,0,132538,133054,265592
0,ALBURY,2018,28,128157,129177,257334,0,0,0,128157,129177,257334
1,ALICE SPRINGS,1985,12,246496,247102,493598,0,0,0,246496,247102,493598
0,ALICE SPRINGS,1986,10,300054,298834,598888,0,0,0,300054,298834,598888
0,ALICE SPRINGS,1987,10,342412,346651,689063,0,0,0,342412,346651,689063
0,ALICE SPRINGS,1988,10,364014,366656,730670,0,0,0,364014,366656,730670
0,ALICE SPRINGS,1989,10,249855,251325,501180,0,0,0,249855,251325,501180
0,ALICE SPRINGS,1990,9,328047,330009,658056,0,0,0,328047,330009,658056
0,ALICE SPRINGS,1991,9,355306,357022,712328,0,0,0,355306,357022,712328
0,ALICE SPRINGS,1992,9,368621,371848,740469,0,0,0,368621,371848,740469
0,ALICE SPRINGS,1993,9,424882,430264,855146,0,0,0,424882,430264,855146
0,ALICE SPRINGS,1994,9,461370,471679,933049,0,0,0,461370,471679,933049
0,ALICE SPRINGS,1995,9,447523,461249,908772,0,0,0,447523,461249,908772
0,ALICE SPRINGS,1996,11,407053,416644,823697,0,0,0,407053,416644,823697
0,ALICE SPRINGS,1997,11,387807,394722,782529,0,0,0,387807,394722,782529
0,ALICE SPRINGS,1998,11,393923,402098,796021,0,0,0,393923,402098,796021
0,ALICE SPRINGS,1999,11,390960,399665,790625,0,0,0,390960,399665,790625
0,ALICE SPRINGS,2000,11,375679,383595,759274,0,0,0,375679,383595,759274
0,ALICE SPRINGS,2001,12,314744,320971,635715,0,0,0,314744,320971,635715
0,ALICE SPRINGS,2002,13,274176,280058,554234,0,0,0,274176,280058,554234
0,ALICE SPRINGS,2003,13,290275,296142,586417,0,0,0,290275,296142,586417
0,ALICE SPRINGS,2004,13,301381,308527,609908,0,0,0,301381,308527,609908
0,ALICE SPRINGS,2005,16,294444,304636,599080,0,0,0,294444,304636,599080
0,ALICE SPRINGS,2006,16,303755,315134,618889,0,0,0,303755,315134,618889
0,ALICE SPRINGS,2007,17,307563,315962,623525,0,0,0,307563,315962,623525
0,ALICE SPRINGS,2008,17,322350,328530,650880,0,0,0,322350,328530,650880
0,ALICE SPRINGS,2009,17,334149,340752,674901,0,0,0,334149,340752,674901
0,ALICE SPRINGS,2010,17,330580,338264,668844,0,0,0,330580,338264,668844
0,ALICE SPRINGS,2011,18,296213,302536,598749,0,0,0,296213,302536,598749
0,ALICE SPRINGS,2012,18,287664,292088,579752,0,0,0,287664,292088,579752
0,ALICE SPRINGS,2013,18,325402,329843,655245,0,0,0,325402,329843,655245
0,ALICE SPRINGS,2014,18,309321,311748,621069,0,0,0,309321,311748,621069
0,ALICE SPRINGS,2015,18,293873,299637,593510,0,0,0,293873,299637,593510
0,ALICE SPRINGS,2016,16,304462,307712,612174,0,0,0,304462,307712,612174
0,ALICE SPRINGS,2017,16,307898,310595,618493,0,0,0,307898,310595,618493
0,ALICE SPRINGS,2018,16,308370,313042,621412,0,0,0,308370,313042,621412
1,ARMIDALE,1985,35,36907,36972,73879,0,0,0,36907,36972,73879
0,ARMIDALE,1986,32,41100,40245,81345,0,0,0,41100,40245,81345
0,ARMIDALE,1987,28,44464,44133,88597,0,0,0,44464,44133,88597
0,ARMIDALE,1988,32,39352,39069,78421,0,0,0,39352,39069,78421
0,ARMIDALE,1989,-,23031,22499,45530,0,0,0,23031,22499,45530
0,ARMIDALE,1990,-,24836,24608,49444,0,0,0,24836,24608,49444
